#
#
#转写说明：
#入声尾韵ʔ统一先用「?」;
#送气统一先用「'」;
#鼻音尾韵ŋ统一先用「ng」;
#ø统一先用「o/」;
#ɔ统一先用「oo」;
#œ统一先用「oe」;
#β统一先用「w」;
#ʒ统一先用「z」;
#ε统一先用「ee」;
#其余音标全部按照原书录入
#原书白读下划线统一在字后加「*」
#录入过程中的补注用「%」
##########################################


##########################################
#2021.1.28更新
#校对完成
#所有转写已替换为原书格式
#
###########################################

#p1298L	
#本章分类列出连江话常用词语，词语按连读后的读音标音。每条词语先写连江话说法，	
接着是标音，标音后是普通话的说法或该词语义。	
#一、天文	
日头	niʔ5 t‘au52	太阳	
雷云	lai21 uŋ52	下雷雨前的乌云	
☐雾	muo21 ou242	雾	
落霜	lɔ44 souŋ44	下霜	
落雪	lɔ21 suoʔ12	下雪	
#p1299L	
珍珠雪	tsiŋ21 ʒuo52 luoʔ12	小粒雪	
龙雹*	lyŋ44 p‘oyʔ5	冰雹	
𰺲雹*	tɔuŋ44 p‘oyʔ5	下冰雹	%逷盪
地牛转肩	ti44 ŋu52 tuoŋ21 ŋieŋ44	地震	
露水	lu52 ʒy33	露水	
天光	t‘ieŋ44 kuoŋ44	天亮	
天暗	t‘ieŋ44 aŋ213	天黑	
#二、地理	
水涨*	tsy24 lɔuŋ33	(海水)涨潮	
水湓	tsy44 βuoŋ213	(海水)退潮	
海☐		hai21 p‘iaʔ	海边泥滩	
沙坂	sa52 βuaŋ33	沙滩	
海𪨧	hai44 lɔuŋ213	海啸	
海墘下	hai44 ieŋ21 ŋa242	沿海	
讨海	t‘ɔ24 hai33	海洋捕鱼	
讨小海	t‘ɔ21 siu24 hai33	近海捕鱼	
两*头*水	laŋ21 nau21 ʒy33	涨潮退潮	
☐☐囝	k‘aŋ21 mεiŋ52 ŋiaŋ53	瓦砾	
山岗	saŋ52 ŋɔuŋ213	山峰	
山骹	saŋ44 k‘a44	山脚下	
山里*	saŋ52 nie33	山区	
山里角	saŋ21 nie44 koyʔ12	偏僻山区	
龙潭	lyŋ21 t‘aŋ52	山坑	
平洋	paŋ21 ŋyoŋ52	大片平地	
田	ts‘εiŋ52	田地	
园	huoŋ52	旱地	
田*堘	ts‘εiŋ21 ŋniŋ52	田埂	
埕	tiaŋ52	空地	
曝粟埕	p‘uo21 ʒuo44 liaŋ52	晒谷场	
拦潭	laŋ21 t‘aŋ52	石头	
拦潭囝	la21 laŋ21 ŋiaŋ33	小石头	
石*头*母*	syo44 lau21 mɔ33 大石头	
石头囝	syo44 lau21 iaŋ33	小石头	
石*头*卵*	syo22 lau21 lɔuŋ242	鹅卵石	
沙	sai44	沙子	
涂	t‘u52	泥土	
#p1299R	
𬲕水	tsiaŋ24 ʒy33	淡水	%䭕
咸水	kεiŋ21 ʒy33	海水、咸水	
滚汤	kuŋ21 nɔuŋ44	开水	
汤	t‘ɔuŋ44	热水	
江	kɔuŋ44	江	
河	ɔ52	河	
溪	k‘ε44	溪	
贝	pui213	小溪	
𰉣	tuo242	路	%墿
马𰉣	ma44 luo242	公路	%墿
街中	kε44 lɔuŋ44	街上	
半𰉣中	puaŋ21 nuo44 lɔuŋ44	半路上	%墿
塭尘	uŋ44 niŋ52	灰尘	
粪倒	puŋ52 nɔ213	垃圾	
城里	siaŋ21 nie33	城里	
县城	kεiŋ44 niaŋ52	指县府驻地	
乡下	hyoŋ52 ŋa242	农村	
#三、时间	
今年暝	kiŋ44 nieŋ44 maŋ52	今年	
明年暝	maŋ21 nieŋ21 maŋ52	明年	
后*年暝	au44 nieŋ44 maŋ52	后年	
☐后年	noyŋ213 au44 nieŋ52	大后年	
去年	k‘ɔ44 nieŋ52	去年	
昨年	sɔ21 nieŋ52	前年	
☐昨年	noyŋ213 so21 nieŋ52	大前年	
昨暝	so21 maŋ52	昨天	
昨日	sɔ44 niʔ5	前日	
今旦	kiŋ52 naŋ213	今天	
明*旦	maŋ21 naŋ213	明天	
后日	au21 niʔ5	后天	
☐后日	noyŋ213 au213 niʔ5	大后天	
上昼*	syoŋ21 nau213	上午	
当昼*	tɔuŋ52 nau213	中午	
下昼	a21 lau213	下午	
早*头*	tsia21 lau52	早晨	
早*辰*头*	tsia21 iŋ21 nau52	早晨	
#p1300L	
半晡	puaŋ44 puo44	中午与黄昏之间	
暝晡	maŋ44 muo44	晚上	
暝晡头	maŋ21 muo44 lau52	晚上	
半暝	puaŋ44 maŋ52	半夜	
半暝囝	puaŋ44 maŋ21 ŋiaŋ33	半夜	
蜀*暝天光	syo21 maŋ21 nieŋ44 ŋuoŋ44	通宵	
个郎工	kɔ44 lɔuŋ44 kɔyŋ44	整天	
个郎晡	kɔ44 lɔuŋ44 puo44	整夜	
年把两*	nieŋ21 ma44 laŋ242	一年多至两年	
月把日	ŋuoʔ2 pa21 niʔ5	一个多月	
十除工	sεiʔ5 ty44 oyŋ44	十来天	
仂久*	liʔ2 ku33	一会儿	
仱	taŋ44	现在	
旧底	ku21 lε33	以前	
往南帮	uoŋ21 naŋ44 mɔuŋ44	以前	
往南日	uoŋ21 naŋ44 niʔ5	前几天	
头先	t‘au44 lεiŋ44	前一会儿	
拜一	puai52 eiʔ12	星期一	
年暝兜	nieŋ44 maŋ44 nau44	年边	
上元	syoŋ44 ŋuoŋ52	元宵	
五月节	ŋu21 ŋuoʔ5 ts‘eiʔ12	端午节	%原书即为ts‘eiʔ12
七月半	ts‘iʔ12 ŋuoʔ5 puaŋ44	七月半节	
八月中秋	pεiʔ ŋuoʔ2 tyŋ44 ʒiu44	中秋节	
做年	tsɔ44 nieŋ52	过年	
做节	tsɔ52 tsεiʔ12	过节	
三十暝晡	saŋ21 nεiʔ2 maŋ44 muo44	大年三十晚上	
初一早	ts‘œ21 iʔ12 tsia33	大年初一	
#四、方位	
位处	ui21 ʒøy213	地方，位置	
悬*势	kεiŋ21 nie213	上面	
悬*顶	kε21 lεiŋ33	上面	
下底	a21 lε33	下面	
里*势	tie44 lie213	里面	
外*斗*	ŋie21 lau33	外面	
边斗*	pieŋ52 nau33	旁边	
#p1300R	
四势	si52 sie213	到处	
七处	ts‘iʔ5 ts‘øy213	到处	
台中*	tai44 lɔuŋ44	中间	
台中*中*	tai21 lou44 nouŋ44	中间	
地兜	tie44 lau44	地面	
桌面	tɔ52 meiŋ213	桌上	
门楼口*	muoŋ21 lau21 k‘au33	门口	
门后角	muoŋ21 ŋau21 oyʔ12	门后	
后*斗*	a21 lau33	后面	
尾斗*	mui24 lau33	后面	
尾后*	mui44 au242	背后	
角角	koyʔ12 koyʔ12	角落	
面*前*	miŋ44 nεiŋ52	前面	
面*头*前*	miŋ44 nau44 lεiŋ52	前面	
#五、房舍	
厝	ts‘uo213	房屋	
厝瓦顶	ts‘uo44 ŋua21 liŋ33	屋顶	
檐墘头*	siŋ21 ŋieŋ21 nau53	屋檐	
桁	aŋ52	檩(屋顶上托住椽子的横木)	
椽	t‘uoŋ52	椽子	
廊柱*	lɔuŋ21 t‘iu242	柱子	
柱*珠	t‘iu44 ʒuo44	柱下石	
磉盘	sɔuŋ21 muaŋ52	顶着“柱珠”的石板	
门䧘	muoŋ21 nεiŋ242	门槛	
楼*顶	lau21 liŋ33	楼上	
阶*座	kie23 ʒɔ242	台阶	
房里*	puŋ21 nie33	屋里	
露台	lu44 lai52	凉台	
拦牢	laŋ21 nɔ52	拦杆	
门扇	muoŋ21 nieŋ213	门板	
槛门囝	k‘aŋ21 muoŋ52 ŋiaŋ33	窗户	
灶前*	tsau44 lεiŋ52	厨房	
粪坑厝	puŋ21 ŋaŋ52 ʒuo213	厕所	
仰板	ŋyoŋ24 mεiŋ33	天花板	
厅中	t‘iaŋ nɔuŋ44	大厅	
#p1301L	
#六、器具	
家私*	ka44 li44	家具，工具	
眠床	miŋ21 ts‘ɔuŋ52	床	
籐床框	tiŋ44 ʒɔuŋ44 k‘uoŋ44	床绷子	%原书即为籐
行*铺	kiaŋ44 muoŋ44	临时搭起的床铺	%原书音标如此
月桌	ŋuoʔ2 tɔʔ12	园桌	
月椅	ŋuoʔ2 ie33	园凳子	
椅条	ie21 leu52	条凳	
椅头*	ie21 lau52	凳子	
椅囝	ie24 iaŋ33	小凳子	
裙座椅	kuŋ21 ʒɔ52 ie33	太师椅	
床荐	ts‘ɔuŋ21 ʒeiŋ213	草垫	
毡	tsieŋ44	毛毯	
铺板	p‘uo52 βεiŋ33	床板	
帐	tyoŋ213	蚊帐	
褥	yʔ5	褥子	
棉被	mieŋ21 p‘ui242	棉胎	
簏	loyʔ5	抽屉	
签甲桌	ts‘ieŋ21 ŋaʔ5 tɔʔ12	大写字台	
妆台桌	tsyoŋ52 nai21 lɔʔ12	梳妆台	
鼎㪠	tiaŋ44 ŋεiŋ213	锅盖	
鼎杼	tiaŋ24 t‘yo33	锅铲	
鼎筅	tiaŋ24 ts‘εiŋ33	炊帚	
铁☐	t‘ie12 ts‘ieʔ5	铁瓢	
漏☐	lau44 ts‘ieʔ5	漏瓢	
笊篱	tsia44 lie52	在水中捞物的用具	
水管*	tsy24 uoŋ33 舀水竹简	
饭☐	puɔŋ21 ʒeiŋ213	蒸饭具	
拔桶	puaʔ2 t‘oyŋ33	吊水桶	
碗缸	uaŋ21 kɔuŋ44	大碗	
碗囝	uaŋ24 ŋiaŋ33	小碗	
酒盏	tsiu24 ʒiaŋ33	酒杯	
酒漀	tsiu21 iŋ52	斟酒酒壶	
茶婆	ta21 βɔ52	茶壶	
茶桌	ta21 lɔʔ12	茶几	
开水壶	k‘aiʔ21 ʒy21 u52	热水壶	
罗盆	lɔ21 βuoŋ52	脸盆儿	
#p1301R	
面*布	miŋ52 muo213	洗脸巾	
牙齿罐	ŋa21 i44 uaŋ213	牙杯	
骹布	k‘a52 βuo213	擦脚布	
骹桶	k‘a52 loyŋ33	洗衣桶	
☐板	haŋ21 mεiŋ33	切菜板	
碟囝	tieʔ2 kiaŋ33	小碟子	
洋罐	yoŋ21 ŋuaŋ213	煤油灯	
电光	tieŋ44 ŋuoŋ44	电灯	
手电	ts‘iu44 tieŋ242	手电筒	
电涂	tieŋ44 t‘u52	电池	
不求人	puʔ12 kiu21 iŋ52	竹制抓痒具	
纸媒	tsai21 mui52	引火用的细纸卷	
洋火*	yoŋ21 ŋui33	火柴	
薰筒	hɔuŋ44 noyŋ52	水烟筒	
柴柿	ts‘ia21 p‘ui213	木屑	
火*管*	hui24 uoŋ33	吹火筒	
甏	p‘aŋ44 大口缸	
瓮	oyŋ213	小口缸	
硋鉢	hai21 βuaʔ12	鉢头	%原书鉢即为繁体
瓶瓶	piŋ21 piŋ52	小瓶子	
罐罐	kuaŋ21 kuaŋ213	小罐子	
筅帚	ts‘εiŋ24 ʒiu33	扫帚	
挂橱	kua44 liu52	菜橱	
猴*桶	kau21 loyŋ33	提水用小水桶	
头*梳	t‘au44 lœ44	梳子	
篦梳	pi44 lœ44	篦子	
便妆	pieŋ44 ʒɔuŋ44	梳妆盒	
衣裳车	i44 lyoŋ44 ʒia44	缝纫机	
铰刀	ka44 lɔ44	剪刀	
竹𥮕	tyʔ5 ɔuŋ242	晒衣竹竿	
骹踏车	k‘a21 laʔ5 ts‘ia44	自行车	
风抽	huŋ44 t‘iu44	打气简	
竹床	tyʔ12 ts‘ɔuŋ52	竹床	
竹席	tyʔ12 ts‘yoʔ5	竹席子	
鼎	tiaŋ33	铁锅	
灶刀	tsau44 lɔ44	切菜刀	
文明杖	uŋ21 miŋ21 t‘yoŋ242	手杖	
#p1302L	
痰盆	t‘aŋ21 puoŋ52	痰盂	
#七、动物	
头*牲*	t‘au4 laŋ44	牲畜	
牛*港	ŋu21 koyŋ33	公牛	
牛*母*	ŋu21 mɔ33	母牛	
猪射	ty52 lia242	公猪	
猪豚	ty44 lɔuŋ52	中猪	
猪囝	ty52 iaŋ33 小猪	
菜猪	ts‘ai44 ly44	肉猪	
羊	yoŋ52	羊	
猫☐	ma21 nei213	猫	
鸡角	kie52 oyʔ12	公鸡	
鸭雄	aʔ12 hyŋ52	公鸭	
水鸡	tsy21 ie44	田蛙	
蛒	kuoʔ5 toyŋ213	山坑蛙	
青鸭	ts‘iaŋ52 ŋaʔ12	青蛙	
黄蜱	uoŋ21 p‘ε52	小青蛙	
黄蜱☐	uoŋ21 mε21 lui242	蝌蚪	
老*虎	la21 u33	老虎	
老*蛇	lau44 lie52	蛇	
拉狸	la21 li33	穿山甲	
猴囝	kau21 iaŋ33	猴子	
豹囝	pau52 iaŋ33	豹子	
溪滑*	k‘ε44 kɔuʔ5	淡水大鳗鱼	
☐☐	a21 ʒi52	蝉	
蚕囝	ts‘εiŋ21 ŋiaŋ33	蚕	
南尾星	naŋ21 mui21 liŋ44	萤火虫	
☐蝶	pu44 lieʔ5	蝴蝶	
麻胡	ma21 u52	蜻蜒	%原书即为蜒
风蚊	huŋ44 muoŋ52	蚊子	
菩蝇	pu21 liŋ52	苍蝇	
猫头爷	ma44 lau44 ie52	蜘蛛	
蜢囝	moyŋ24 ŋiaŋ33	小黑虫	
虼蚤	ka24 ʒau33	跳蚤	
虱母*	seiʔ mo33	虱子	
猴蚓	kau21 ɔuŋ33	蚯蚓	
#p1302R	
目虱	meiʔ2 sεiʔ12	臭虫	
⿰粜蚤母	saʔ12 mo33	蟑螂	
仁蚣	iŋ44 ŋøyŋ44	蜈蚣	
黄蚁	uoŋ21 ŋie242	蚂蚁	
白蚁	pa21 ŋie242	白蚂蚁	
家隻	ka52 tsieʔ12	麻雀	
白鸽	pa21 aʔ12	白鸽	
老𪺾	lo21 ŋε52	老鹰	
燕囝	ieŋ52 ŋiaŋ33	燕子	
客鹊	k‘a52 ʒyoʔ12	喜鹊	
☐化	ka21 ua213	八哥	
猫*王鸟*	ma21 uoŋ21 ʒeu33	猫头鹰	
乌鸦	u44 a44	乌鸦	
𫊻	siŋ52	青蟹	
蠘	ts‘ieʔ5	梭子蟹	
黄瓜鱼	uoŋ21 ŋua44 ŋy52	黄花鱼	
虾米	ha21 mi33	虾皮	
蟟囝	liu21 iaŋ33	蚬子	
马骹	ma21 k‘a44	马鲛鱼	
䖳	t‘a213	海蜇皮	
鳜鱼	kui44 ŋy52	鳜鱼	
冬鸡	toyŋ44 ŋie44	大墨鱼	
虎𫊻	hu21 liŋ52	蟹类的一种	
青鳌	ts‘iaŋ44 ŋɔ52	海蚌	
虾菇	ha44 u44	一种贝壳类海产	
车利	ts‘ia21 lei213	海蚯蚓	
鲎	hau213	鲎	
鳖	pieʔ12	甲鱼	
龟	kui44	龟	
蛏	t‘εiŋ44	蛏	
鲄囝	k‘ɔ52 iaŋ33	小鱼干	
鱼鲞	ŋy21 lyoŋ33	剖开晾干的鱼	
跳鱼	t‘iu44 ŋy52	鲦鱼	
八蛎*	pεiʔ5 tie242	牡蛎	
鳝	ts‘iaŋ242	鱔鱼	
鱿鱼	iu21 ŋy52	鱿鱼	
蚶	haŋ44	蚶	
#p1303L	
章鱼	tsyoŋ44 ŋy52	章鱼	
#八、植物	
籼	tiu242	稻子	
粟*	ts‘uoʔ12	谷子	
稗	p‘ε213	稗子	
秫粟*	suʔ2 ts‘uoʔ12	糯谷	
𬖞米	si21 mi33	粳米	
番薯	huaŋ44 ny52	红薯	
番囝薯	huaŋ21 ŋiaŋ21 ny52	马铃薯	
番柿	huaŋ52 k‘ei242	西红柿	
芋卵	uo21 lɔuŋ242	芋头	
姜母	kyoŋ52 mɔ33	母姜	
鼎𰱗	tiaŋ44 ʒœ213	丝瓜	
☐	pu52	葫芦瓜	
金瓜	kiŋ44 ŋua44	南瓜	
萝卜	la44 βuʔ5	萝卜	
蕹菜	uŋ52 ʒai213	空心菜	
茭笋	ka52 luŋ33	茭笋	
番椒	huaŋ44 ʒiu44	辣椒	
芥菜	kua52 ʒai213	芥菜	
薸	p‘iu52	浮萍	
包菜	pau52 ʒai213	洋白菜	
紫菜	tsie44 ʒai213	茄子	
莓梨	mui21 li52	荸荠	
龙眼	lɔuŋ21 ŋεiŋ33	龙眼	
荔枝	lie44 ʒie44	荔枝	
芭蕉	pa44 ʒiu44	香蕉	
☐	p‘au44	柚子	%原书☐处为空
☐红	ts‘uo21 uŋ52	杨梅	
番石榴	huaŋ21 nyo44 liu52	番石榴	
黄郑	uoŋ21 naŋ242		黄皮果	
栗子	liʔ2 tsi33	栗子	
杉树*	saŋ52 ʒiu213	杉树	
梧桐	ŋu21 luŋ52	梧桐	
松柏	syŋ21 maʔ12	松树	
麻竹	ma21 løyʔ12	毛竹	
#p1303R	
树*箬	ts‘iu44 nyoʔ5	树叶	
树*桠	ts‘iu44 ŋε44	树枝	
栽树*	tsai52 ts‘iu213	种树	
菜栽	ts‘ai44 ʒai44	菜苗	
树*栽	ts‘iu44 ʒai44	树苗	
茉莉	moyʔ2 lei242	茉莉花	
#九、人品	
丈夫侬	tɔuŋ21 muo44 noyŋ52	男人	
诸娘依	tsy44 nyoŋ44 noyŋ52	女人	
老*侬	lau44 noyŋ52	老人	
老*货	lau21 huo213	老人(贬)	
丈*夫*侬老*	tɔuŋ21 muo44 noyŋ21 lau242	老男人	
诸娘老*	tsy52 nyoŋ21 lau242	老女人	
单身哥	tan21 niŋ44 ŋɔ44	单身汉	
守妈	tsiu24 ma33	寡妇	
悬*哥	kεiŋ44 ŋɔ44	高个子	
矮囝	ε24 iaŋ33	矮个子	
汉码大	haŋ21 ma44 tuai242	大个子	
隔壁*厝	ka21 βia52 ʒuo213	邻居	
厝边	ts‘uo44 βieŋ44	邻居	
丈*夫*囝	tɔuŋ21 muo52 iaŋ33	男孩子	
诸娘囝	tsy52 noyŋ44 ŋiaŋ33	女孩子	
伲囝哥	nie21 iaŋ21 ŋɔ44	小孩子	
新妇囝	siŋ21 mu52 iaŋ33	童养媳	
☐厝脊	ta21 ʒuo52 ʒeiʔ12	老处女	%原书☐处为空
谊女	ŋie21 ny33	婢女	
谊囝	ŋie21 iaŋ33	干儿子	
白面	pa21 meiŋ213	妓女	
歹*囝	p‘ai24 iaŋ33	流氓	
呆*囝	ŋai21 iaŋ33	学坏的人	
好囝	hɔ24 iaŋ33	学好的人	
𪴯囝	ŋɔuŋ21 ŋiaŋ33	傻子	
两*个声	laŋ21 ŋa21 liaŋ44	不会讲本地话的人	
掌盘使	tsyoŋ44 muaŋ21 nai213	掌柜的	
长年	tɔuŋ21 nieŋ52	长工	
煮*食*	tsy21 lieʔ5	煮饭婆	
#p1304L	
宝☐奶	pɔ21 u24 nε33	接生婆	
铜子	toyŋ21 ʒi33	神汉	
☐☐妈	le21 ʒi24 ma33	招魂女人	
厨司付	tuo21 la52 ou242	厨师	
赌博鬼	tu21 βouʔ5 kui33	惯赌	
甲哥	kaʔ12 kɔ44	搬运工	
和头	huo21 lau52	和事老	
新新妇	siŋ21 niŋ52 mou242	新娘	
新郎使	siŋ52 nɔuŋ21 nai213	新郎	%使当作婿
乞食*	k‘yʔ21 sieʔ5	乞丐	
#十、称谓	
大公	tuai44 uŋ44	曾祖父	
大妈	tuai21 ma33	曾祖母	
依公	i44 kuŋ44	祖父	
依妈	i52 ma33	祖母	
伯公	pa44 uŋ44	伯祖父	
姆妈	mu24 ma33	伯祖母	
叔公	tsyʔ12 kuŋ44	叔祖父	
婶妈	siŋ24 ma33	叔祖母	
郎爸	nɔuŋ21 ma242	父親	
依爹	i44 tia44	父親	
娘奶	nɔuŋ21 nε33	母親	
依奶	i52 nε33	母親	
依伯	i52 paʔ12	伯父	
依母	i52 mu33	伯母	
依家	i44 ka44	叔叔	
家婶	ka52 liŋ33	婶子	
外*公	ŋie44 uŋ44	外祖父	
外*妈	ŋie21 ma33	外祖母	
依舅	i52 kiu242	舅父	
依妗	i52 keiŋ242	舅母	
姨姨	i21 i52	姨母	
姨丈	i21 lyoŋ242	姨丈	
姑妈	ku44 ma44	姑母	%后字声调当为33
姑丈	ku52 lyoŋ242	姑丈	
依姐	i52 tsia33	姐姐	
姐夫	tsia21 u44	姐夫	
#p1304R	
依妹	i52 mui213	妹妹	
妹夫	mui44 u44	妹夫	
依哥	i44 kɔ44	哥哥	
依嫂	i52 sɔ33	嫂子	
依弟	i52 tie242	弟弟	
弟人**	tie44 iŋ52	弟媳	
爹官	tε44 uaŋ44	公公	
爹家	tε44 a44	婆婆	
囝	kiaŋ33	儿子	
新妇	siŋ52 mou242	儿媳	
孙	sɔuŋ44	孙子，姪儿	
外*甥	ŋie44 lεiŋ44	外甥	
外*孙	ŋie44 lɔuŋ44	外孙	
孙孙囝	sɔuŋ21 nɔuŋ52 ŋiaŋ33	曾孙	
丈侬	tyoŋ21 noyŋ52	岳父	
丈奶	tyoŋ24 nε33	岳母	
叔婶伯罕	tsyʔ12 siŋ21 pa52 aŋ33	妯娌	
兄弟哥	hiaŋ21 nie44 ɔ44	弟兄	
姐妹	tsia44 mui213	姐妹	
郎爸囝	nɔuŋ21 ma52 iaŋ33	父子	
娘奶囝	nyoŋ21 nε24 iaŋ33	母子	
老*公妈	la21 uŋ52 ma33	夫妻	
#十一、饮食	
食*早*	sieʔ2 tsia33	吃早饭	
食*昼*	sieʔ2 tau213	吃午饭	
食*暝	sieʔ2 maŋ52	吃晚饭	
糜粥	mui21 ʒøyʔ12	稀饭	
燋饭*	ta52 βuoŋ242	干饭	
漉饭*	lɔyʔ2 puoŋ242	捞饭	
凊饭*	ts‘iŋ52 muoŋ242	冷饭	
𣗬饭*	k‘iu52 βuoŋ242	硬饭	
碎食*	ts‘oy44 lieʔ5	零食	
熻饭*	hiʔ5 puog242	焖饭	
焖饭	muŋ21 puoŋ242	焖饭	
乇配	nɔ52 ui213	下饭菜	%原书后字即无声母
白𬖞	pa44 li52	白粿	
#p1305L	
糖粿	t‘ɔuŋ21 ŋui33	甜糕	
扁肉	pieŋ21 nyʔ5	馄饨	
蹄库	tε21 k‘ou213	猪蹄膀上的肉	
下水	a21 ʒy33	鸡鸭内𦛊	
切面	ts‘ieʔ5 mieŋ242	切面	
春饼	ts‘uŋ52 miaŋ33	春卷	
燕皮	ieŋ44 p‘ui52	瘦肉制的馄饨皮	
肥肉	pui44 nyʔ5	肥肉	
㾪肉	sεiŋ21 nyʔ5	瘦肉	
☐老	muaŋ44 lɔ33	猪舌	
猪骹	ty44 k‘a44	猪脚	
猪骹爪	ty21 a52 ʒau33	猪脚的前半部	
骹柄	k‘a52 βaŋ213	猪脚的后半部	
肉绒	nyʔ5 yŋ52	肉松	
鱼丸	ŋy21 uoŋ52	鱼丸	
鱼面	ŋy21 mieŋ242	鱼面	
线面	siaŋ52 mieŋ242	线面	
豆腐	ta21 ou242	豆腐	
皮卵	p‘ui21 lɔuŋ242	松花蛋	
腹*里*	puʔ12 tie33	动物内𦛊	
煠卵*	saʔ2 lɔuŋ242	清水煮蛋	
豉油	sie44 iu52	酱油	
文饼	uŋ21 miaŋ33	油炸的面粉条	
卵包	lɔuŋ44 mau44	荷包蛋	
冰箸	pin52 tøy242	冰棒	
漀茶	k‘iŋ21 ta52	倒茶	
食*茶	sieʔ2 ta52	喝茶	
食*薰	sieʔ5 hɔuŋ44	抽烟	
食*酒	sieʔ2 tsiu33	喝酒	
食*饭*	sieʔ puoŋ242	吃饭	
豆干	tau44 uaŋ44	硬些的豆腐	
香干	hyoŋ44 ŋaŋ44	𰛮豆腐干	
#十二、起居	
爬起	pa52 k‘i33	起来	
洗面	sε44 meiŋ213	洗脸	
洗汤	sε21 lɔuŋ44	洗澡	
#p1305R	
洗牙齿	sε44 ŋa21 i33	刷牙	
澉身	kaŋ21 niŋ44	擦身	
泡茶	p‘au44 ta52	沏茶	
颂衣裳	sy21 i44 lyoŋ52	穿衣服	
褪衣裳	t‘ɔug21 i44 lyoŋ52	脱衣服	
行*𰉣	kiaŋ21 tuo242	走路	
客蹓	k‘a44 liu52	玩耍	
去*街	k‘ɔ44 kε44	上街	
去*斋	k‘ɔ44 ʒe44	上学	
睶	ts‘uŋ33	打瞌睡	
转厝	tuoŋ44 ts‘uo213	回家	
做依客*	tsɔ44 noyŋ21 ŋaʔ12	做客	
剃头	t‘ie44 lau52	理发	
睏昼	k‘ɔuŋ52 nau213	午睡	
狂眠	kuoŋ21 miŋ52	讲梦话	
腹*老空*	puʔ12 lɔ52 k‘oyŋ44	肚子饿	
扫厝	sau52 ʒuo213	扫地	
好睏	hɔ44 ɔuŋ213	好睡	
睏𫧃着	k‘ɔuŋ213 mε44 lyoʔ5	睡不着	
毛眠睏	mɔ21 miŋ21 ŋɔuŋ213	睡不着	
清醒*	ts‘iŋ52 ʒiaŋ33	睡醒	
门头	muoŋ21 nau52	送礼	
熬暝	ŋɔ21 ma52	熬夜	
拉尿	na21 niu242	拉尿	
拉屎	na21 sai33	拉屎	
摒粪倒	piaŋ21 puŋ52 nɔ213	倒垃圾	
#十三、服饰	
衣裳	i44 lyoŋ52	衣服，上衣	
衣裳衫颂	i21 lyoŋ21 naŋ52 nøyŋ242	衣衫	
裤	k‘ou213	裤子	
