八音	连江县志记法	榕拼	对应的声调范围（1-8记法）	县志是否与榕拼完全一致	县志是否可以唯一映射到榕拼(有声调辅助)	榕拼是否可以唯一映射到县志(有声调辅助)	县志是否可以唯一映射到榕拼(无声调辅助)	榕拼是否可以唯一映射到县志(无声调辅助)
奇	iaʔ	iah	all	N	N	Y	N	Y
声	iaʔ	iak	all	N	N	Y	N	Y
鸡	ieʔ	ieh	all	N	N	Y	N	Y
天	ieʔ	iek	all	N	N	Y	N	Y
花	uaʔ	uah	all	N	N	Y	N	Y
欢	uaʔ	uak	all	N	N	Y	N	Y
过	uoʔ	uoh	all	N	N	Y	N	Y
光	uoʔ	uok	all	N	N	Y	N	Y
桥	yoʔ	yoh	all	N	N	Y	N	Y
香	yoʔ	yok	all	N	N	Y	N	Y
灯	ɛiʔ	eik	8	N	Y	Y	N	Y
灯	ɛiʔ	aik	4	N	Y	Y	N	Y
釭	ɔuʔ	ouk	8	N	Y	Y	N	""
釭	ɔuʔ	oouk	4	N	Y	Y	N	""
东	oyʔ	eoyk	8	N	Y	Y	N	""
东	oyʔ	ooyk	4	N	Y	Y	N	""
伓	""	ng	""	N	N	N	N	""
伓	""	ing	""	N	N	N	N	""
伓	""	eing	""	N	N	N	N	""
上平	44	55	""	N	Y	Y	Y	""
上上	33	33	""	Y	Y	Y	Y	""
上去	213	213	""	Y	Y	Y	Y	""
上入	12	24	""	N	Y	Y	Y	""
下平	52	53	""	N	Y	Y	Y	""
下上	""		""	Y	Y	Y	Y	""
下去	242	242	""	Y	Y	Y	Y	""
下入	5	5	""	Y	Y	Y	Y	""
""	""	0	""	N	N	N	N	""
""	21	21	*变调规则不能完全映射	Y	Y	Y	Y	""
""	24	24	*变调规则不能完全映射	Y	Y	N	Y	""
""	2	24	*变调规则不能完全映射	N	Y	N	Y	""
""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""
